Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8877330,"RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)",7,17,0.0011706376532158104,1.5678392251139428E-8,7.462914711542368E-6,20,20,0.0014896469536719798,9606,Homo sapiens,"IL2RA;CTLA4;IL2;RUNX1","","R-HSA-8877414;R-HSA-8939082;R-HSA-8877348;R-HSA-8877345;R-HSA-8877391;R-HSA-8877421;R-HSA-8877485;R-HSA-8865547;R-HSA-8865546;R-HSA-8877385;R-HSA-8877192;R-HSA-8877493;R-HSA-8877396;R-HSA-8877490;R-HSA-8877360;R-HSA-8939088;R-HSA-8877404;R-HSA-8877338;R-HSA-8877369;R-HSA-9006422"
R-HSA-8951911,"RUNX3 regulates RUNX1-mediated transcription",3,4,2.754441536978378E-4,4.0950771331926816E-5,0.009746283576998582,2,2,1.4896469536719798E-4,9606,Homo sapiens,"RUNX3;RUNX1","","R-HSA-8951926;R-HSA-8951910"
R-HSA-9020933,"Interleukin-23 signaling",3,11,7.574714226690538E-4,7.843428771626693E-4,0.0999089628375458,10,12,8.937881722031879E-4,9606,Homo sapiens,"IL23R;STAT4;JAK2","","R-HSA-8950780;R-HSA-8950364;R-HSA-8950269;R-HSA-8952749;R-HSA-8950591;R-HSA-8950737;R-HSA-8950724;R-HSA-447130;R-HSA-8952823;R-HSA-8950583"
R-HSA-451927,"Interleukin-2 family signaling",5,47,0.0032364688059495937,0.0010374098122195585,0.0999089628375458,23,59,0.004394458513332341,9606,Homo sapiens,"IL21;IL2RA;STAT4;JAK2;IL2","","R-HSA-451942;R-HSA-450054;R-HSA-912527;R-HSA-919404;R-HSA-452100;R-HSA-508292;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-9006850;R-HSA-450027;R-HSA-9006873;R-HSA-508247;R-HSA-453111;R-HSA-913374;R-HSA-9006844;R-HSA-9005980;R-HSA-453104;R-HSA-452122;R-HSA-913424;R-HSA-508282;R-HSA-452091;R-HSA-9006870"
R-HSA-388841,"Costimulation by the CD28 family",7,97,0.006679520727172566,0.0010549052496693356,0.0999089628375458,20,35,0.0026068821689259644,9606,Homo sapiens,"CD28;CTLA4;CSK;CD247;ICOS;HLA-DQA1;ICOSLG","","R-HSA-389381;R-HSA-389348;R-HSA-389158;R-HSA-389350;R-HSA-388833;R-HSA-388832;R-HSA-389762;R-HSA-388814;R-HSA-388809;R-HSA-388808;R-HSA-389352;R-HSA-388811;R-HSA-389354;R-HSA-388817;R-HSA-388829;R-HSA-389532;R-HSA-388831;R-HSA-389759;R-HSA-388830;R-HSA-389758"
R-HSA-428359,"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA",3,13,8.951934995179727E-4,0.0012646704156651367,0.0999089628375458,3,3,2.2344704305079697E-4,9606,Homo sapiens,"H19;IGF2","","R-HSA-428293;R-HSA-428287;R-HSA-428296"
R-HSA-9008059,"Interleukin-37 signaling",4,36,0.00247899738328054,0.002837239331898611,0.19293227456910556,8,14,0.0010427528675703858,9606,Homo sapiens,"SMAD3;PTPN2;IL18R1","","R-HSA-9008684;R-HSA-9008894;R-HSA-9008577;R-HSA-8848335;R-HSA-9009072;R-HSA-9008928;R-HSA-9008692;R-HSA-9009910"
R-HSA-8878171,"Transcriptional regulation by RUNX1",11,261,0.017972731028783915,0.0035117693006545547,0.19396286551143405,124,132,0.009831669894235066,9606,Homo sapiens,"H19;IL2RA;CTLA4;PRKCQ;IL2;RUNX1","","R-HSA-8936584;R-HSA-8937097;R-HSA-8931981;R-HSA-8938382;R-HSA-8936068;R-HSA-8938887;R-HSA-8877192;R-HSA-8956568;R-HSA-8937113;R-HSA-8937118;R-HSA-8938389;R-HSA-8936599;R-HSA-8936616;R-HSA-8956586;R-HSA-8936621;R-HSA-8938158;R-HSA-8955822;R-HSA-8937134;R-HSA-8936608;R-HSA-8938913;R-HSA-8877485;R-HSA-8938150;R-HSA-8935864;R-HSA-8938938;R-HSA-8877493;R-HSA-8877490;R-HSA-8938174;R-HSA-8938930;R-HSA-8936628;R-HSA-8932020;R-HSA-8932021;R-HSA-8938440;R-HSA-8938176;R-HSA-8956608;R-HSA-8932033;R-HSA-8865482;R-HSA-8932037;R-HSA-8938951;R-HSA-8938201;R-HSA-8865491;R-HSA-8956639;R-HSA-8937682;R-HSA-8938965;R-HSA-8865498;R-HSA-8938199;R-HSA-8878054;R-HSA-8938217;R-HSA-8956649;R-HSA-8938987;R-HSA-8956652;R-HSA-8932076;R-HSA-8878050;R-HSA-8955885;R-HSA-8865505;R-HSA-8938981;R-HSA-8878056;R-HSA-8935930;R-HSA-8938228;R-HSA-8932084;R-HSA-8955893;R-HSA-8938231;R-HSA-8938487;R-HSA-8938251;R-HSA-8938507;R-HSA-8937728;R-HSA-8865547;R-HSA-8937989;R-HSA-8865546;R-HSA-8935960;R-HSA-8936989;R-HSA-8937744;R-HSA-8936979;R-HSA-8877338;R-HSA-8877348;R-HSA-8935980;R-HSA-8877345;R-HSA-8939054;R-HSA-8934688;R-HSA-8936481;R-HSA-8934690;R-HSA-8936995;R-HSA-8935972;R-HSA-8938022;R-HSA-8937767;R-HSA-8865320;R-HSA-8937016;R-HSA-8877879;R-HSA-8939066;R-HSA-8935740;R-HSA-8937022;R-HSA-8877360;R-HSA-8935730;R-HSA-8938034;R-HSA-8935731;R-HSA-8877884;R-HSA-8935732;R-HSA-8935988;R-HSA-8877369;R-HSA-8939082;R-HSA-8937037;R-HSA-8934735;R-HSA-8938063;R-HSA-8936000;R-HSA-8877391;R-HSA-8938053;R-HSA-8877385;R-HSA-8936007;R-HSA-8938328;R-HSA-8937050;R-HSA-8877396;R-HSA-8939088;R-HSA-8877404;R-HSA-8934742;R-HSA-8935766;R-HSA-9006422;R-HSA-8935785;R-HSA-8877414;R-HSA-8877421;R-HSA-8938338;R-HSA-8955748;R-HSA-8938853;R-HSA-8939129;R-HSA-8936058;R-HSA-8938867"
R-HSA-449147,"Signaling by Interleukins",20,643,0.04427764770692742,0.0037300551059891163,0.19396286551143405,201,493,0.0367197974080143,9606,Homo sapiens,"IL10;IL21;SMAD3;IL23R;FASLG;IL2;IL18RAP;IRF4;IL2RA;STAT4;JAK2;PTPN2;IL18R1;CCR2","","R-HSA-450054;R-HSA-452100;R-HSA-8950415;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-1112602;R-HSA-8987266;R-HSA-1112604;R-HSA-8950405;R-HSA-8950426;R-HSA-452122;R-HSA-913424;R-HSA-8950423;R-HSA-8950441;R-HSA-6783556;R-HSA-6786114;R-HSA-913451;R-HSA-6783552;R-HSA-6786124;R-HSA-8937656;R-HSA-8950448;R-HSA-8950453;R-HSA-8937654;R-HSA-6783524;R-HSA-6786095;R-HSA-6786092;R-HSA-921155;R-HSA-6783530;R-HSA-6786101;R-HSA-6809140;R-HSA-6786096;R-HSA-8950480;R-HSA-6786110;R-HSA-8950485;R-HSA-6784006;R-HSA-1112690;R-HSA-6786050;R-HSA-6786058;R-HSA-1067646;R-HSA-1112703;R-HSA-6785047;R-HSA-6786070;R-HSA-8950522;R-HSA-6788628;R-HSA-9006844;R-HSA-9008894;R-HSA-914036;R-HSA-8950518;R-HSA-9009910;R-HSA-6786072;R-HSA-912527;R-HSA-9617941;R-HSA-1112727;R-HSA-8848395;R-HSA-8987141;R-HSA-1067651;R-HSA-1112708;R-HSA-1067659;R-HSA-8950292;R-HSA-447130;R-HSA-8987156;R-HSA-8950314;R-HSA-8987179;R-HSA-1112755;R-HSA-9008684;R-HSA-6783681;R-HSA-6784204;R-HSA-8950328;R-HSA-1067688;R-HSA-8950322;R-HSA-9008692;R-HSA-8950344;R-HSA-6784160;R-HSA-8950340;R-HSA-8950364;R-HSA-8950365;R-HSA-8950367;R-HSA-8981073;R-HSA-8950354;R-HSA-6784189;R-HSA-8987220;R-HSA-8981093;R-HSA-447226;R-HSA-8950389;R-HSA-8984963;R-HSA-914182;R-HSA-8984964;R-HSA-449803;R-HSA-6785898;R-HSA-8987033;R-HSA-8950681;R-HSA-447252;R-HSA-8950684;R-HSA-8950173;R-HSA-9005980;R-HSA-449811;R-HSA-8950175;R-HSA-6784324;R-HSA-6784323;R-HSA-8952749;R-HSA-8983983;R-HSA-8950190;R-HSA-879909;R-HSA-879910;R-HSA-8950181;R-HSA-879907;R-HSA-8950201;R-HSA-879934;R-HSA-8983996;R-HSA-8950718;R-HSA-879930;R-HSA-879925;R-HSA-9009072;R-HSA-449855;R-HSA-8950218;R-HSA-8950732;R-HSA-8984012;R-HSA-8984014;R-HSA-9008577;R-HSA-8848335;R-HSA-8984001;R-HSA-8950721;R-HSA-8950210;R-HSA-879942;R-HSA-8950724;R-HSA-879937;R-HSA-8950213;R-HSA-508247;R-HSA-8983519;R-HSA-8983518;R-HSA-6784319;R-HSA-8950225;R-HSA-8950737;R-HSA-8984021;R-HSA-8984023;R-HSA-451942;R-HSA-919404;R-HSA-8987104;R-HSA-8950757;R-HSA-8952807;R-HSA-6784791;R-HSA-8950778;R-HSA-8950780;R-HSA-8950269;R-HSA-8848370;R-HSA-912757;R-HSA-6785821;R-HSA-8950771;R-HSA-8950260;R-HSA-508282;R-HSA-8952823;R-HSA-8950537;R-HSA-6788582;R-HSA-508292;R-HSA-6789615;R-HSA-9006850;R-HSA-8950533;R-HSA-9006873;R-HSA-8983835;R-HSA-8983834;R-HSA-9006870;R-HSA-909738;R-HSA-8950063;R-HSA-8983841;R-HSA-9008928;R-HSA-8983845;R-HSA-448427;R-HSA-1112510;R-HSA-8950567;R-HSA-8950586;R-HSA-5696482;R-HSA-8950591;R-HSA-8983870;R-HSA-6788571;R-HSA-8950581;R-HSA-449976;R-HSA-8950583;R-HSA-8983872;R-HSA-8983876;R-HSA-8983878;R-HSA-1112514;R-HSA-913374;R-HSA-9006431;R-HSA-913371;R-HSA-8950623;R-HSA-913370;R-HSA-8950608;R-HSA-6797245;R-HSA-8986985;R-HSA-6790022;R-HSA-8950634;R-HSA-8950637;R-HSA-1112565;R-HSA-450031;R-HSA-450027;R-HSA-453111;R-HSA-453104;R-HSA-8950128;R-HSA-452091;R-HSA-6790041"
R-HSA-8952158,"RUNX3 regulates BCL2L11 (BIM) transcription",2,6,4.131662305467566E-4,0.004294487087467935,0.20184089311099296,2,2,1.4896469536719798E-4,9606,Homo sapiens,"SMAD3;RUNX3","","R-HSA-8952232;R-HSA-8952226"
