Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",37,102,0.007023825919294863,1.1102230246251565E-16,2.4313884239290928E-14,14,16,0.0011917175629375838,9606,Homo sapiens,"ERAP2;ERAP1;HLA-B","","R-HSA-8951499;R-HSA-983148;R-HSA-983146;R-HSA-983145;R-HSA-983142;R-HSA-983427;R-HSA-983426;R-HSA-983138;R-HSA-983425;R-HSA-983424;R-HSA-983422;R-HSA-983421;R-HSA-983161;R-HSA-983158"
R-HSA-877300,"Interferon gamma signaling",65,250,0.01721525960611486,1.1102230246251565E-16,2.4313884239290928E-14,14,16,0.0011917175629375838,9606,Homo sapiens,"IRF4;IFNGR2;HLA-B;IRF5;IFNLR1;IRF6;JAK2;HLA-DRB1;HLA-DQA1;PTPN2;HLA-DQB1","","R-HSA-997326;R-HSA-873924;R-HSA-873927;R-HSA-873926;R-HSA-1031716;R-HSA-873921;R-HSA-1031713;R-HSA-873922;R-HSA-877308;R-HSA-873919;R-HSA-9678561;R-HSA-873918;R-HSA-877269;R-HSA-909552"
R-HSA-1236977,"Endosomal/Vacuolar pathway",35,82,0.005646605150805674,1.1102230246251565E-16,2.4313884239290928E-14,3,4,2.9792939073439596E-4,9606,Homo sapiens,"HLA-B","","R-HSA-1236964;R-HSA-1236954;R-HSA-1236943"
R-HSA-1280215,"Cytokine Signaling in Immune system",134,1092,0.07519625395950971,1.1102230246251565E-16,2.4313884239290928E-14,456,708,0.05273350215998808,9606,Homo sapiens,"IL21;CD40;CSF2;TNFRSF6B;IL23R;RORC;IL27;TNF;IL18RAP;KPNA7;MAP3K8;JAK2;IL6R;IL10;IL15RA;IL1R1;IL1R2;IFNGR2;HLA-B;IL19;FOS;TYK2;OSMR;TNFRSF1A;RBX1;PSMA6;IRF4;LTA;IRF5;IRF6;HLA-DQB1;PSMD14;CUL1;NOD2;FOXO3;PSMB10;IL1RL1;CCL7;STAT4;CCL2;PTK2B;TNFRSF14;SH2B3;HLA-DQA1;MAPK3;IL12RB2;SMAD3;NOS2;TNFSF15;STAT3;IFNLR1;NFKB1;IL2;IL3;IL2RA;TAB2;LTBR;HLA-DRB1;PTPN2;IL18R1","","R-HSA-1369114;R-HSA-1369115;R-HSA-203797;R-HSA-1168393;R-HSA-1168394;R-HSA-913424;R-HSA-6786118;R-HSA-6786114;R-HSA-913451;R-HSA-6786124;R-HSA-1168445;R-HSA-8937656;R-HSA-451634;R-HSA-1168423;R-HSA-8937654;R-HSA-451649;R-HSA-6786095;R-HSA-198731;R-HSA-6786092;R-HSA-5684250;R-HSA-5684248;R-HSA-976991;R-HSA-6786101;R-HSA-6786097;R-HSA-6786096;R-HSA-1364044;R-HSA-6786110;R-HSA-1168456;R-HSA-9630923;R-HSA-198746;R-HSA-1168459;R-HSA-448603;R-HSA-1364043;R-HSA-6784006;R-HSA-9699574;R-HSA-9699575;R-HSA-6786050;R-HSA-5684275;R-HSA-5684273;R-HSA-198756;R-HSA-9699581;R-HSA-9705726;R-HSA-6786058;R-HSA-9699579;R-HSA-6785047;R-HSA-6786070;R-HSA-448629;R-HSA-5684261;R-HSA-168053;R-HSA-1170539;R-HSA-5684267;R-HSA-6786072;R-HSA-912527;R-HSA-8848395;R-HSA-6786293;R-HSA-448660;R-HSA-448661;R-HSA-209063;R-HSA-209061;R-HSA-6789325;R-HSA-9674808;R-HSA-6784204;R-HSA-446634;R-HSA-1302698;R-HSA-448703;R-HSA-446648;R-HSA-5669097;R-HSA-6784160;R-HSA-1675473;R-HSA-168140;R-HSA-9674816;R-HSA-6784189;R-HSA-446684;R-HSA-448728;R-HSA-446694;R-HSA-446692;R-HSA-168166;R-HSA-209125;R-HSA-446701;R-HSA-8854645;R-HSA-168184;R-HSA-909552;R-HSA-8984963;R-HSA-8985988;R-HSA-449803;R-HSA-8984964;R-HSA-8987014;R-HSA-8987033;R-HSA-199959;R-HSA-449811;R-HSA-8950173;R-HSA-8950175;R-HSA-9681294;R-HSA-6784324;R-HSA-6784323;R-HSA-8987052;R-HSA-912680;R-HSA-8983983;R-HSA-8950190;R-HSA-879909;R-HSA-8987040;R-HSA-879910;R-HSA-8950179;R-HSA-8987042;R-HSA-8950181;R-HSA-879907;R-HSA-8950183;R-HSA-8950201;R-HSA-879934;R-HSA-8983996;R-HSA-8987070;R-HSA-879930;R-HSA-879925;R-HSA-449855;R-HSA-445757;R-HSA-8987063;R-HSA-445752;R-HSA-445753;R-HSA-8987080;R-HSA-8950218;R-HSA-8984012;R-HSA-8987084;R-HSA-8984014;R-HSA-8984001;R-HSA-9008577;R-HSA-8950210;R-HSA-879942;R-HSA-879937;R-HSA-8950213;R-HSA-8987097;R-HSA-508247;R-HSA-8987096;R-HSA-6784319;R-HSA-8950225;R-HSA-8984021;R-HSA-9707977;R-HSA-8984023;R-HSA-451942;R-HSA-5607731;R-HSA-8987105;R-HSA-8987104;R-HSA-1168767;R-HSA-8950269;R-HSA-8987132;R-HSA-912757;R-HSA-5607725;R-HSA-8987120;R-HSA-8950260;R-HSA-508282;R-HSA-5607723;R-HSA-6788582;R-HSA-508292;R-HSA-6789615;R-HSA-446862;R-HSA-1370500;R-HSA-446870;R-HSA-1168768;R-HSA-909724;R-HSA-8983835;R-HSA-446868;R-HSA-8983834;R-HSA-909726;R-HSA-9005340;R-HSA-9705729;R-HSA-909722;R-HSA-909719;R-HSA-909718;R-HSA-1370505;R-HSA-9705738;R-HSA-8950057;R-HSA-8985900;R-HSA-909738;R-HSA-8950063;R-HSA-8983841;R-HSA-446894;R-HSA-909732;R-HSA-8983845;R-HSA-909729;R-HSA-1112510;R-HSA-909730;R-HSA-873919;R-HSA-873918;R-HSA-9676071;R-HSA-8983870;R-HSA-1168809;R-HSA-6788571;R-HSA-1168813;R-HSA-449976;R-HSA-8985929;R-HSA-8983872;R-HSA-873924;R-HSA-1112538;R-HSA-873927;R-HSA-873926;R-HSA-873921;R-HSA-8983876;R-HSA-8983878;R-HSA-873922;R-HSA-1112514;R-HSA-1168839;R-HSA-9006431;R-HSA-8986985;R-HSA-1678841;R-HSA-1112565;R-HSA-8985966;R-HSA-450031;R-HSA-8950113;R-HSA-1176059;R-HSA-450027;R-HSA-1168894;R-HSA-453111;R-HSA-6789524;R-HSA-8985981;R-HSA-453104;R-HSA-8950128;R-HSA-8986995;R-HSA-8986994;R-HSA-452091;R-HSA-450054;R-HSA-5693012;R-HSA-452100;R-HSA-8950410;R-HSA-452097;R-HSA-8950415;R-HSA-450063;R-HSA-1112602;R-HSA-452108;R-HSA-8987266;R-HSA-1112604;R-HSA-8950405;R-HSA-8987270;R-HSA-1671691;R-HSA-8950426;R-HSA-5668417;R-HSA-8982163;R-HSA-8982162;R-HSA-1112587;R-HSA-8982165;R-HSA-450074;R-HSA-452122;R-HSA-1671687;R-HSA-8950423;R-HSA-8950441;R-HSA-6783556;R-HSA-508451;R-HSA-5668467;R-HSA-6783552;R-HSA-1031716;R-HSA-1031713;R-HSA-5668454;R-HSA-8950456;R-HSA-8950448;R-HSA-8950453;R-HSA-6783524;R-HSA-921155;R-HSA-6783530;R-HSA-6809140;R-HSA-450133;R-HSA-8950480;R-HSA-8950485;R-HSA-449115;R-HSA-8950504;R-HSA-1112690;R-HSA-5668404;R-HSA-5676597;R-HSA-508513;R-HSA-5676593;R-HSA-6788623;R-HSA-5668414;R-HSA-1067640;R-HSA-6788622;R-HSA-1067646;R-HSA-1112703;R-HSA-9678561;R-HSA-8950522;R-HSA-6788628;R-HSA-9006844;R-HSA-9008894;R-HSA-914036;R-HSA-5676591;R-HSA-8950518;R-HSA-9009910;R-HSA-1067667;R-HSA-6785762;R-HSA-8987150;R-HSA-1112727;R-HSA-9617941;R-HSA-8987141;R-HSA-1067676;R-HSA-450187;R-HSA-8987161;R-HSA-1067651;R-HSA-1112708;R-HSA-8983059;R-HSA-6784765;R-HSA-1067659;R-HSA-447130;R-HSA-6784763;R-HSA-8950292;R-HSA-8987156;R-HSA-8987179;R-HSA-8950314;R-HSA-1112755;R-HSA-9008684;R-HSA-6783681;R-HSA-8983077;R-HSA-9009700;R-HSA-8983078;R-HSA-8950328;R-HSA-446130;R-HSA-1067688;R-HSA-8950322;R-HSA-9008692;R-HSA-8950344;R-HSA-8950347;R-HSA-8987214;R-HSA-8987202;R-HSA-8950340;R-HSA-8950342;R-HSA-8950364;R-HSA-8950365;R-HSA-8987230;R-HSA-5668481;R-HSA-8950367;R-HSA-877269;R-HSA-8981073;R-HSA-8950354;R-HSA-8987220;R-HSA-8987223;R-HSA-5668534;R-HSA-8981093;R-HSA-8987236;R-HSA-199404;R-HSA-877308;R-HSA-450292;R-HSA-982778;R-HSA-8950398;R-HSA-982775;R-HSA-447226;R-HSA-8950389;R-HSA-8987255;R-HSA-982768;R-HSA-5668520;R-HSA-727819;R-HSA-9678737;R-HSA-982792;R-HSA-8983425;R-HSA-8983424;R-HSA-914182;R-HSA-6785898;R-HSA-8950681;R-HSA-447252;R-HSA-450325;R-HSA-982810;R-HSA-8950684;R-HSA-9005980;R-HSA-982807;R-HSA-8950674;R-HSA-8952749;R-HSA-450337;R-HSA-1169210;R-HSA-450346;R-HSA-6789960;R-HSA-1169188;R-HSA-8950718;R-HSA-9009072;R-HSA-1169192;R-HSA-8950731;R-HSA-8950732;R-HSA-8950733;R-HSA-8848335;R-HSA-8950721;R-HSA-8950724;R-HSA-8983519;R-HSA-8983518;R-HSA-8950737;R-HSA-8950741;R-HSA-9705461;R-HSA-919404;R-HSA-9705458;R-HSA-8950752;R-HSA-9705465;R-HSA-8950757;R-HSA-9705466;R-HSA-9705467;R-HSA-8952807;R-HSA-6784791;R-HSA-8950778;R-HSA-8950780;R-HSA-8848370;R-HSA-8950782;R-HSA-6785821;R-HSA-8950771;R-HSA-8952823;R-HSA-8950537;R-HSA-8983307;R-HSA-8983309;R-HSA-8983299;R-HSA-9006850;R-HSA-8950533;R-HSA-8983300;R-HSA-9006873;R-HSA-1015702;R-HSA-1015699;R-HSA-9006870;R-HSA-9706293;R-HSA-448421;R-HSA-9674550;R-HSA-8950575;R-HSA-2730894;R-HSA-9008928;R-HSA-448427;R-HSA-8983335;R-HSA-8950567;R-HSA-997311;R-HSA-997309;R-HSA-8950586;R-HSA-5696482;R-HSA-8950591;R-HSA-9674542;R-HSA-8950581;R-HSA-8950583;R-HSA-997326;R-HSA-8983371;R-HSA-8983373;R-HSA-8983374;R-HSA-997314;R-HSA-9674563;R-HSA-9674562;R-HSA-8983384;R-HSA-913374;R-HSA-9674567;R-HSA-913371;R-HSA-913370;R-HSA-8950623;R-HSA-8950608;R-HSA-8983379;R-HSA-6797245;R-HSA-8983378;R-HSA-913360;R-HSA-9706315;R-HSA-6790022;R-HSA-8950634;R-HSA-5668789;R-HSA-8950637;R-HSA-6790029;R-HSA-8983394;R-HSA-1369080;R-HSA-6790025;R-HSA-1169406;R-HSA-9681763;R-HSA-6790038;R-HSA-6790036;R-HSA-8986480;R-HSA-5675948;R-HSA-6790041"
R-HSA-913531,"Interferon Signaling",68,394,0.02713124913923702,1.1102230246251565E-16,2.4313884239290928E-14,32,69,0.00513928199016833,9606,Homo sapiens,"IFNGR2;HLA-B;IFNLR1;TYK2;IRF4;KPNA7;IRF5;IRF6;JAK2;HLA-DRB1;HLA-DQA1;PTPN2;HLA-DQB1;MAPK3","","R-HSA-997326;R-HSA-9678737;R-HSA-873924;R-HSA-873927;R-HSA-873926;R-HSA-873921;R-HSA-997314;R-HSA-873922;R-HSA-909724;R-HSA-909726;R-HSA-909722;R-HSA-877269;R-HSA-1015702;R-HSA-909719;R-HSA-909718;R-HSA-1015699;R-HSA-1678841;R-HSA-912680;R-HSA-909732;R-HSA-1176059;R-HSA-1031716;R-HSA-909729;R-HSA-1031713;R-HSA-909730;R-HSA-1169406;R-HSA-997311;R-HSA-877308;R-HSA-873919;R-HSA-9678561;R-HSA-997309;R-HSA-873918;R-HSA-909552"
R-HSA-909733,"Interferon alpha/beta signaling",43,188,0.012945875223798375,2.4424906541753444E-15,4.46975789714088E-13,15,22,0.0016386116490391778,9606,Homo sapiens,"IRF4;HLA-B;IRF5;IRF6;TYK2","","R-HSA-9678737;R-HSA-912680;R-HSA-909732;R-HSA-909729;R-HSA-997314;R-HSA-909730;R-HSA-997311;R-HSA-909724;R-HSA-997309;R-HSA-909726;R-HSA-909722;R-HSA-1015702;R-HSA-909719;R-HSA-909718;R-HSA-1015699"
R-HSA-1236974,"ER-Phagosome pathway",39,173,0.011912959647431482,7.827072323607354E-14,1.2210232824827472E-11,5,10,7.448234768359899E-4,9606,Homo sapiens,"PSMA6;PSMD14;HLA-B;TLR4;PSMB10","","R-HSA-8863895;R-HSA-8863973;R-HSA-1236935;R-HSA-1236965;R-HSA-1236971"
R-HSA-1236975,"Antigen processing-Cross presentation",40,195,0.013427902492769591,6.954437026251981E-13,9.527578725965213E-11,10,23,0.0017130939967227767,9606,Homo sapiens,"PSMA6;PSMD14;NCF4;HLA-B;TLR4;PSMB10","","R-HSA-8863895;R-HSA-8863973;R-HSA-1236935;R-HSA-1236967;R-HSA-1236964;R-HSA-1236965;R-HSA-1236954;R-HSA-1236970;R-HSA-1236971;R-HSA-1236943"
R-HSA-202427,"Phosphorylation of CD3 and TCR zeta chains",18,45,0.0030987467291006747,6.901235138911943E-11,8.41950686947257E-9,6,7,5.213764337851929E-4,9606,Homo sapiens,"PTPRC;PTPN22;HLA-DRB1;HLA-DQA1;HLA-DQB1","","R-HSA-202291;R-HSA-202214;R-HSA-202165;R-HSA-8855375;R-HSA-202233;R-HSA-8852200"
R-HSA-202430,"Translocation of ZAP-70 to Immunological synapse",17,42,0.0028921636138272964,1.9423518349270807E-10,2.117163500070518E-8,4,4,2.9792939073439596E-4,9606,Homo sapiens,"PTPN22;HLA-DRB1;HLA-DQA1;HLA-DQB1","","R-HSA-8855381;R-HSA-202168;R-HSA-202344;R-HSA-202174"
