"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs2249296-<b>C</b>,"1 x 10-6","(Ileal involvement)",0.78,1.69,'-,[1.35-2.13],CLCA2,"Crohn's disease-related phenotypes","ileocolitis, Crohn's disease",GCST002729,1:86444581
rs11209026-<b>?</b>,"4 x 10-21",,NR,3.18,'-,[2.91-3.44],IL23R,"Crohn's disease","Crohn's disease",GCST001396,1:67240275
chr2:151914525-<b>T</b>,"9 x 10-6",,0.0589587,'-,'-,'-,'-,"Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,"Mapping not available"
rs10144920-<b>A</b>,"7 x 10-6",,0.0245171,'-,'-,'-,SYNDIG1L,"Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,14:74415130
rs10977466-<b>G</b>,"9 x 10-6",,0.224215,'-,'-,'-,PTPRD,"Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,9:9065941
rs11950172-<b>C</b>,"3 x 10-6",,0.396837,'-,'-,'-,"RN7SL802P, ST8SIA4","Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,5:101171505
rs12442493-<b>C</b>,"5 x 10-6",,0.304455,'-,'-,'-,"RN7SKP181, LINC02253","Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,15:96933041
rs2965118-<b>G</b>,"9 x 10-6",,0.109351,'-,'-,'-,CBLC,"Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,19:44789032
rs4700080-<b>G</b>,"9 x 10-6",,0.0340237,'-,'-,'-,ADAMTS6,"Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,5:65343061
rs62167560-<b>C</b>,"6 x 10-6",,0.0207101,'-,'-,'-,"FABP5P10, RBM43","Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,2:151206431
rs7614127-<b>A</b>,"7 x 10-6",,0.501515,'-,'-,'-,"CD200R1L-AS1, LINC02042","Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,3:112789332
rs78885963-<b>T</b>,"6 x 10-6",,0.0540958,'-,'-,'-,DPH6-DT,"Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,15:35639966
rs940145-<b>C</b>,"4 x 10-6",,0.237037,'-,'-,'-,CSMD1,"Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,8:3951280
rs9921472-<b>A</b>,"6 x 10-6",,0.103316,'-,'-,'-,"AC091489.1, AC010601.1","Crohn's disease (time to progression)","disease progression measurement, Crohn's disease",GCST007497,16:18006634
rs116417499-<b>A</b>,"4 x 10-7",,0.0154867,'-,'-,'-,ALDH5A1,"Crohn's disease (time to first abdominal surgery)","disease progression measurement, Crohn's disease",GCST007498,6:24523528
rs62072729-<b>T</b>,"4 x 10-6",,0.11853,'-,'-,'-,NLRP1,"Crohn's disease (time to first abdominal surgery)","disease progression measurement, Crohn's disease",GCST007498,17:5522104
rs6778300-<b>C</b>,"5 x 10-6",,0.0119647,'-,'-,'-,RARB,"Crohn's disease (time to first abdominal surgery)","disease progression measurement, Crohn's disease",GCST007498,3:25251475
rs76804613-<b>T</b>,"4 x 10-6",,0.173569,'-,'-,'-,LINC02814,"Crohn's disease (time to first abdominal surgery)","disease progression measurement, Crohn's disease",GCST007498,1:229142587
rs9868898-<b>G</b>,"2 x 10-6","(Perianal disease)",0.16,1.49,'-,[1.26-1.76],"PLCXD2, PHLDB2","Crohn's disease-related phenotypes","perianal Crohn's disease",GCST002729,3:111762099
rs2076756-<b>?</b>,"7 x 10-14",,0.24,'-,'-,'-,NOD2,"Crohn's disease","Crohn's disease",GCST000023,16:50722970
rs224136-<b>?</b>,"1 x 10-10",,0.81,1.67,'-,[NR],AC067751.1,"Crohn's disease","Crohn's disease",GCST000023,10:62710915
rs7517847-<b>?</b>,"3 x 10-12",,0.40,'-,'-,'-,"IL23R, C1orf141","Crohn's disease","Crohn's disease",GCST000023,1:67215986
rs2241880-<b>G</b>,"1 x 10-13",,0.55,1.45,'-,[1.27-1.64],ATG16L1,"Crohn's disease","Crohn's disease",GCST000023,2:233274722
rs7551188-<b>T</b>,"9 x 10-6",,NR,1.18,'-,[1.10-1.28],RUNX3,"Crohn's disease","Crohn's disease",GCST001785,1:24946709
rs1487630-<b>T</b>,"1 x 10-11",,NR,1.33,'-,[1.22-1.44],"LINC02513, AC098680.1","Crohn's disease","Crohn's disease",GCST001785,4:38334202
rs7329174-<b>G</b>,"8 x 10-9",,NR,1.27,'-,[1.17-1.38],ELF1,"Crohn's disease","Crohn's disease",GCST001785,13:40983974
rs9891119-<b>A</b>,"2 x 10-15",,NR,1.37,'-,[1.27-1.48],STAT3,"Crohn's disease","Crohn's disease",GCST001785,17:42355962
rs11894081-<b>T</b>,"4 x 10-9",,0.55,1.22,'-,[1.2-1.22],"AC107057.1, AC073143.1","Crohn's disease","Crohn's disease",GCST001785,2:5523876
rs72981516-<b>T</b>,"4 x 10-7",,0.12,1.28,'-,[1.27-1.29],FCHSD2,"Crohn's disease","Crohn's disease",GCST001785,11:72959855
rs3094188-<b>C</b>,"7 x 10-7",,0.280,1.61,'-,[1.33-1.94],"POU5F1, PSORS1C3","Crohn's disease","Crohn's disease",GCST001785,6:31174468
rs9267911-<b>T</b>,"3 x 10-7",,0.479,1.5,'-,[1.29-1.76],"NOTCH4, TSBP1-AS1","Crohn's disease","Crohn's disease",GCST001785,6:32237333
