"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs41293883-<b>?</b>,"2 x 10-14",,0.95847,1.4541224,'-,[1.33-1.6],MICB,Eczema,Eczema,GCST009718,6:31507043
rs6062486-<b>?</b>,"1 x 10-8",,0.7008,1.1376565,'-,[1.09-1.19],"RTEL1, RTEL1-TNFRSF6B",Eczema,Eczema,GCST009718,20:63671186
rs55836957-<b>?</b>,"5 x 10-9",,0.6605,1.1322464,'-,[1.09-1.18],"LINC02098, ETS1",Eczema,Eczema,GCST009718,11:128298736
rs34290285-<b>?</b>,"3 x 10-9",,0.6208,1.1244799,'-,[1.08-1.17],D2HGDH,Eczema,Eczema,GCST009718,2:241759225
rs676387-<b>?</b>,"1 x 10-9",,0.7126,1.123343,'-,[1.08-1.16],"HSD17B1, AC067852.2, AC067852.1",Eczema,Eczema,GCST009718,17:42554255
rs10791824-<b>?</b>,"9 x 10-10",,0.5694,1.1118523,'-,[1.08-1.15],OVOL1,Eczema,Eczema,GCST009718,11:65791795
rs12147883-<b>?</b>,"5 x 10-10",,0.5017,1.1109877,'-,[1.08-1.15],AL132801.2,Eczema,Eczema,GCST009718,14:102773293
rs7709291-<b>G</b>,"3 x 10-10",,0.4135,1.113,'-,[1.078-1.149],"IL7R, AC137810.1",Eczema,Eczema,GCST009718,5:35848461
rs3860444-<b>A</b>,"4 x 10-9",,0.3466,1.123,'-,[1.082-1.165],IL18R1,Eczema,Eczema,GCST009718,2:102391163
rs78426265-<b>T</b>,"3 x 10-9",,0.1635,1.139,'-,[1.093-1.188],"AL121594.1, PSMA6",Eczema,Eczema,GCST009718,14:35293785
rs11645657-<b>C</b>,"1 x 10-14",,0.4397,1.14,'-,[1.104-1.177],CLEC16A,Eczema,Eczema,GCST009718,16:11129597
rs7936312-<b>T</b>,"9 x 10-21",,0.4768,1.171,'-,[1.134-1.208],"AP001189.2, EMSY",Eczema,Eczema,GCST009718,11:76582682
rs20541-<b>A</b>,"2 x 10-14",,0.2945,1.174,'-,[1.128-1.221],"IL13, TH2LCRR",Eczema,Eczema,GCST009718,5:132660272
rs61839660-<b>T</b>,"6 x 10-14",,0.1,1.221,'-,[1.161-1.284],IL2RA,Eczema,Eczema,GCST009718,10:6052734
rs112401631-<b>A</b>,"4 x 10-16",,0.01598,1.549,'-,[1.399-1.714],"AC004585.2, SMARCE1",Eczema,Eczema,GCST009718,17:40608272
rs61815559-<b>T</b>,"1 x 10-64",,0.0337,1.894,'-,[1.764-2.033],FLG-AS1,Eczema,Eczema,GCST009718,1:152298743
rs3985697-<b>?</b>,"9 x 10-11",,NR,'-,'-,'-,DLGAP1,Eczema,Eczema,GCST007075,18:3822871
